date,price,ma_3,ma_12
2021-11-01 00:00:00+00:00,1773.599976,1770.6333416666666,1796.8666790833333
2021-12-01 00:00:00+00:00,1827.5,1794.6999919999998,1791.4000144166669
2022-01-01 00:00:00+00:00,1795.0,1798.6999919999998,1787.041677
2022-02-01 00:00:00+00:00,1899.400024,1840.6333413333334,1801.316681
2022-03-01 00:00:00+00:00,1949.199951,1881.1999916666666,1820.9333395
2022-04-01 00:00:00+00:00,1909.300049,1919.3000080000002,1832.7666728333334
2022-05-01 00:00:00+00:00,1842.699951,1900.399983666667,1827.7833354166667
2022-06-01 00:00:00+00:00,1804.099976,1852.033325333333,1830.5583293333332
2022-07-01 00:00:00+00:00,1762.900024,1803.2333170000002,1826.4166666666667
2022-08-01 00:00:00+00:00,1712.800049,1759.9333496666666,1817.9000040833334
2022-09-01 00:00:00+00:00,1662.400024,1712.7000323333334,1810.1583353333333
2022-10-01 00:00:00+00:00,1635.900024,1670.3666990000002,1797.900004
2022-11-01 00:00:00+00:00,1746.0,1681.4333493333334,1795.600006
2022-12-01 00:00:00+00:00,1819.699951,1733.8666583333334,1794.9500019166665
2023-01-01 00:00:00+00:00,1929.5,1831.7333170000002,1806.1583352500002
2023-02-01 00:00:00+00:00,1828.900024,1859.3666583333334,1800.28333525
2023-03-01 00:00:00+00:00,1969.0,1909.1333413333334,1801.9333393333334
2023-04-01 00:00:00+00:00,1990.099976,1929.3333333333333,1808.6666665833334
2023-05-01 00:00:00+00:00,1963.900024,1974.3333333333333,1818.7666726666666
2023-06-01 00:00:00+00:00,1921.099976,1958.3666586666666,1828.5166726666666
2023-07-01 00:00:00+00:00,1970.5,1951.8333333333333,1845.8166706666668
2023-08-01 00:00:00+00:00,1938.199951,1943.2666423333333,1864.5999958333332
2023-09-01 00:00:00+00:00,1848.099976,1918.933309,1880.0749918333333
2023-10-01 00:00:00+00:00,1985.199951,1923.833292666667,1909.1833190833331
2023-11-01 00:00:00+00:00,2038.099976,1957.1333009999998,1933.5249837499998
2023-12-01 00:00:00+00:00,2062.399902,2028.5666096666666,1953.7499796666668
2024-01-01 00:00:00+00:00,2048.399902,2049.63326,1963.6583048333334
2024-02-01 00:00:00+00:00,2045.699951,2052.1665850000004,1981.724965416667
2024-03-01 00:00:00+00:00,2217.399902,2103.833251666667,2002.4249572500003
2024-04-01 00:00:00+00:00,2291.399902,2184.833251666667,2027.5332844166667
2024-05-01 00:00:00+00:00,2322.899902,2277.233235333333,2057.449940916667
2024-06-01 00:00:00+00:00,2327.699951,2313.9999183333334,2091.3332721666666
2024-07-01 00:00:00+00:00,2426.5,2359.033284333333,2129.3332721666666
2024-08-01 00:00:00+00:00,2493.800049,2416.0,2175.6332803333335
2024-09-01 00:00:00+00:00,2636.100098,2518.800049,2241.2999571666664
2024-10-01 00:00:00+00:00,2738.300049,2622.7333986666667,2304.058298666667
2024-11-01 00:00:00+00:00,2657.0,2677.1333823333334,2355.633300666667
2024-12-01 00:00:00+00:00,2629.199951,2674.8333333333335,2402.8666380833333
2025-01-01 00:00:00+00:00,2812.5,2699.5666503333337,2466.5416462499998
2025-02-01 00:00:00+00:00,2836.800049,2759.5,2532.4666544166666
2025-03-01 00:00:00+00:00,3122.800049,2924.0333659999997,2607.9166666666665
2025-04-01 00:00:00+00:00,3305.0,3088.200032666666,2692.3833415000004
2025-05-01 00:00:00+00:00,3288.899902,3238.8999836666667,2772.8833415000004
2025-06-01 00:00:00+00:00,3294.399902,3296.0999346666667,2853.44167075
2025-07-01 00:00:00+00:00,3293.199951,3292.1665850000004,2925.6666666666665
2025-08-01 00:00:00+00:00,3473.699951,3353.7666013333333,3007.324991833333
2025-09-01 00:00:00+00:00,3840.800049,3535.8999836666667,3107.7166544166666
2025-10-01 00:00:00+00:00,3982.199951,3765.5666503333337,3211.3749795833332
2025-11-01 00:00:00+00:00,4218.299805,4013.7666016666662,3341.483296666667
2025-12-01 00:00:00+00:00,4375.700195,4192.066650333333,3487.0249836666662
